unique_1.4,corrected_1.4,unique_4.1.1,corrected_4.1.1,unique_4.1.2,corrected_4.1.2,unique_4.2.1,corrected_4.2.1,unique_4.2.2,corrected_4.2.2,unique_4.5.1,corrected_4.5.1,unique_4.5.2,corrected_4.5.2,unique_4.5.3,corrected_4.5.3,unique_4.5.4,corrected_4.5.4,unique_5.3,corrected_5.3,unique_5.5,corrected_5.5,unique_5.7,corrected_5.7,unique_5.9,corrected_5.9,unique_4.3.4,corrected_4.3.4,unique_4.3.3, corrected_4.3.3,unique_4.3.1,corrected_4.3.1,unique_4.3.2,corrected_4.3.2
<100,,secodary schools,secondary schools,child care,Childcare centres,cultural,entertainment,75% capacity,,history high risk travel,other,,,pcr test,pcr-test,,,Crotatia,Croatia,wallis and fortuna,Wallis and Futuna,,,,,50 outdoor,50 outdoors,religious gatherings,some gatherings,150,150,50 outdoors,50 outdoors
athletes,other,childcare cenres,childcare centres,secondary schooles,Secondary schools,construction,industry,partial curfew,,technology enhanced,forms,,,traders,other,,,all-travellers,all travellers,TMA,TMA,,,,,100 outdoor,100 outdoors,social,some gatherings ,vaccinated indoors,"vaccinated, indoors",15 funerals,15 funerals
beaches,outdoor spaces,all wducation,all education,all eduation,All education,etertainment,entertainment,essential business.non essential business,all businesses,Guangdong,gaungdong,,,vaccines,vaccinated,,,non-resident,non-residents,cargo,other,,,,,Religious,some gatherings ,15 indoor,15 indoors ,one household,1 household,100 funerals,100 funerals
madeira,,TMA test,other,kindegarten,Kindergartens,Professional athlete training indoors,fitness,non-essenital businesses,non-essential businesses,private trasnport,private transport,,,recovered,covid-pass,,,family members,family,cargo drivers,other,,,,,50 outdoors,50 outdoors,>50 outdoor,50 outdoors ,three households,3 households,75,75
red areas,zones,Seconday schools,secondary schools,years,Years,All businesses,all businesses,non-essential businsesses,non-essential businesses,guangdong,gaungdong,,,unvaccinated,unvaccinated,,,train travellers,other,PCR-tests,pcr-test,,,,,400,400,wedding,,4 households,4 households,<20,20
respirators,,Screening,screening,news,news,spas,beauty,vaccination,vaccinated,foshan,foshan,,,pcr-tests,pcr-test,,,baltic states,Baltic states,Northern Macedonia,North Macedonia,,,,,100 outdoors,100 outdoors,funerals,,Recreation,,10 outdoor,10 outdoors
retail,businesses,covid-pass,covid-pass,post secondary schools,post-secondary schools,30,,others,other,all areas,inter-regional travel,,,antigua,Antigua,,,athletes,other,Vaccination,vaccinated,,,,,covid pass,covid-pass,500 outdoor,500 outdoors ,public gatherings,,50 indoor,50 indoors
ramadan,other,all exhools,all schools,exams,other,beuty,beauty,non-essential,non-essential businesses,priavte transport,private transport,,,western australia,Western Australia,,,medical tourism,other,hhigh-risk groups,high-risk countries,,,,,all mass gatherings,all gatherings ,>15 indoor,15 indoors ,weddings 50,,5 indoors,5 indoors
private transport,transport,post-sedondary schools,post-secondary schools,seondary schools,secondary schools,offi ces,offices,religious,religion,Shenzhen Bao'an,shenzhen bao'an,,,health,other,,,non-esential travel,non-essential travel,all travellers,all travellers,,,,,large gatherings,all gatherings ,single household,household,PCR-test,pcr-test,50 baptisms,50 baptisms
>5 education,education,stay at home,,econdary schools,secondary schools,modification,,leisure,fitness,antigen test,screening,,,prisons,other,,,non-eu citizens,multiple countries,Korea,Korea,,,,,>500,500,Religious gatherings,some gatherings,Parties,,pcr-test,pcr-test 
health care,health,public schools,other,,,Larger boats,,entertainment ,entertainment,other,other,,,single area (NSW),single area,,,rapid antigen test,antigen test,mainland China,China,,,,,entertainment,some events ,9,9,religion,some gatherings,10 indoors,10 indoors
child care,education,hospitality,,,,vaccine passports,covid-pass,tourism ,tourism,cargo,essential travel,,, multiple areas,multiple areas,,,Very high risk countries: Indina,high-risk countries,serology,covid-pass,,,,,concerts,some events ,20 outdoors,20 outdoors ,30 weddings,,all funerals,funerals
vaccined,vaccinated,non-essential businesses,,,,bars,hospitality,public sector,offices,inter-regional transport,inter-regional transport,,,antigen test,antigen-test,,,Papa New Guinea,Papua New Guinea,Shenyang and certain areas Lianoning province,"China (Shenyang, Lianoning)",,,,,some events,some events,500 outdoors,500 outdoors ,outdoor gatherings,outdoor ,300,300
vaccintated,vaccinated,secondary schools (summer schools),secondary schools,,,beaches,recreation,0%,,public transort,public transport,,,>2,age group,,,Brazil.,Brazil,IgM,covid-pass,,,,,<5,5,<2,2,30 outdoors,30 outdoors,>8,8
religious services,other,secondary schools (lower),secondary schools,,,all businesss,all businesses,non-essential bussinesses,non-essential businesses,private tranpsort,private transport,,,rapid-test,antigen-test,,,>10s,,Zhanjiang,China (Zhanjiang),,,,,pcr-test,pcr-test,15 indoors,15 indoors ,own household only,household,350 weddings,350 weddings
public transoport,transport,secondary schools (upper),secondary schools,,,public spaces,,all businbesses,all businesses,private trabsport,private transport,,,essential travel,,,,pcr-testing,pcr-test,areas in Shenzhen,China (Shenzhen),,,,,<10,10,25 outdoor,25 indoors,unvaccinated,unvaccinated ,20 baptisms,20 baptisms
high risk settings,public spaces,other (rural),other,,,News,news,non-essentials,non-essential businesses,business travel,essential travel,,,non essential travel,non-essential travel,,,transnistria,Transnistria,Maoming,China (Maoming),,,,,public gatherings,,30 outdoors,30 outdoors,>5 per week,5,6 indoors,6 indoors
age group <10,age group,other (special needs),other,,,government offices,offices,touris,tourism,all travelers,other,,,rapid test,screening,,,EEA,EEA,areas in Dongguan area,China (Dongguan),,,,,1000 outdoors,1000 outdoors,10 outdoor,10 outdoors,New Year,public holiday ,15 outdoors,15 outdoors
>60,,childcare centers,childcare centres,,,health services,health,hospitalty,hospitality,zones quarantine,,,,Shanghai disneyland,"zones, China",,,U.S.,US,zones in Guangdong,China (Guangdong),,,,,>20,20,>50 outdoors,50 outdoors ,2 adults plus dependents from 1 household,household,15 burials,15 burials
public spaces & public transport,"public spaces, transport",covid pass,covid-pass,,,places of worship,religion,religon,religion,airports,other,,,Beijing,"zones, China",,,South Ossetia,South Ossetia,Ruili,China (Ruili),,,,,Festival,some events ,25 indoors,25 indoors,clandestine parties,some gatherings,>100,100
indoor and outdoor public spaces,public spaces,news,news,,,entertainemnat,entertainment,recreatioon,recreation,railway stations,public transport,,,sanya city,"zones, China",,,EU member states,EU,2 areas in Guangdong,China (Guangdong),,,,,<50,50,25 outdoors,25 outdoors,30 (Eid Aidifitri),"30, public holiday ",500,500
airports,transport,antigen test,antigen-test,,,pcr-tests,screening,staff,staff,inter-regiona travel,inter-regional travel,,,sanya,"zones, China",,,Shengen area,Schengen,Dashi subdistrict Panyu district Guangdong,China (Guangdong),,,,,>3,3,>100 outdoors,100 outdoors,all ,all gatherings,100 outdoor,100 outdoors
no recommendation,no policy,pcr-test,pcr-test,,,staff,,hospitlity,hospitality,60%,,,,sojourn,"zones, China",,,countries that do not require Visa for entering,multiple countries,repatriated,repatriation,,,,,>30,30,>15 indoors,15 indoors ,public holidays,public holiday,10 outdoors,10 outdoors
secondary schools,education,covid pass,covid-pass,,,retil,retail,news,news,clinically vulnerable,vunerable groups,,,Shanghai,"zones, China",,,schengen border,neighbouring countries,citizines,citizens,,,,,10 indoors,10 indoors ,weddings,,outdoor,outdoors,>4,4
covid pass,covid-pass,childcare centers,childcare centres,,,malls,retail,fitnes,fitness,cycling,private transport,,,Lonhcguan,"zones, China",,,all non-domestic animals,other,Serbia & Montenegro,"Serbia, Montenegero",,,,,75%,75% capacity ,worship,some gatherings,indoor,indoors,350 baptisms,350 baptisms
public transportation,transport,primary education,primary schools,,,pharmacies,health,entertainments,entertainment,roads,road closures,,,Yili,"zones, China",,,non-business,non-essential travel,England,England,,,,,2000,2000,>500,500,not limit,no limit,10 baptisms,10 baptisms
pblic spaces,public spaces,early year education,kindergartens,,,parliament,offices,rbeauty,beauty,felgueiras,felgueiras,,,covid certificate,covid-pass,,,allcountries,all countries,single countrym UK,"single country, UK",,,,,500 outdoor,500 outdoors ,meeting,some gatherings,gatherings,all gatherings,20 outdoors,20 outdoors 
free masks,other,600,,,,essential workers,,non-covid,non-covid,lousada and paos de ferreira,"lousada, paos de ferreira",,,all high risk incidence areas,multiple areas,,,south america,South America,recovered cases,covid-pass,,,,,fairs,some events ,cultural,some events,screening,screening,20 indoors,20 indoors
public trasport,transport,primary shcools,primary schools,,,clinically vulnerable,,no policy,no policy,publictransport,public transport,,,news,news,,,some visas,,all-travellers,all travellers,,,,,religious gathering,some gatherings ,5000,5000,some gatherings,some gatherings,50 indoors,50 indoors
exemptions,,grade 12,primary schools,,,>65,,enterainment,entertainment,temperature checks,screening,,,l zones,Zones,,,non essential travel,non-essential travel,single country Denmark,"single country, Denmark",,,,,religious gatherings,some gatherings ,250 indoor,250 indoors ,no-limit,no limit,outside,outdoors 
childcare,education,vaccinations,vaccinated,,,Essential business,essential businesses,,,public tranport,public transport,,,news,news,,,gurnsey,Guernsey,multiple countires,multiple countries,,,,,outdoor events,,12,12,rapid test,Antigen test,>0,all
pubilc spaces,public spaces,childcare centers,childcare centres,,,tourisn,tourism,,,all businesses,,,,students,students,,,rna-test,pcr-test,US,US,,,,,500 outdoors,500 outdoors ,All public gatherings,some gatherings ,news,news,30 outdoors,30 outdoors
public transport,transport,not applicable,other,,,beatuy,beauty,,,essential workers,essential travel,,,yichun,"single area, yichun",,,all countries except portugal,multiple countries,all countires,all countries,,,,,100 indoors,100 indoors ,>20 outdoors,20 outdoors ,some gathergins,some gatherings,150 weddings,150 weddings
events,,day care centers,childcare centres,,,hospitality,hospitality,,,youth,age group,,,symptomatic,symptomatic,,,kenya and south africa,"Kenya, South Africa",non-essential travellers,other,,,,,30%,30% capacity ,0.5,50% capacity ,other,other,Religious,religion
offices,businesses,COVID pass,covid-pass,,,firness,fitness,,,non essential travel,non-essential travel,,,,,,,Europe,EU,pcr-testting,pcr-test,,,,,>15,15,large gatherings,,,,parties,
venues,,pre-school,kindergarten,,,public venues,venues,,,trains,public transport,,,,,,,buisness,business,border workers,other,,,,,500 indoor,500 indoors ,meetings,some gatherings,,,religious gatherings,religion
vunerable groups,vulnerable,testing,screening,,,essential services,essential businesses,,,private vehicles,private transport,,,,,,,Guadaloupe,Guadaloupe,and spain,spain,,,,,>100 outdoors,100 outdoors ,>200,200,,,200 weddings,200 weddings
indoors public spaces,indoor spaces,all educatiom,all education,,,all education,,,,public transport & private transport,"public transport, private transport",,,,,,,non-nationals,non-citizens,the United kingdom,UK,,,,,large events,all events ,250 indoors,250 indoors,,,3 households,3 households
outdoor public spaces,outdoor spaces,covid pass,covid-pass,,,essintial,essential businesses,,,inte-regional transport,inter-regional travel,,,,,,,Hong Kong,Hong Kong,diplomats,other,,,,,all getherings,all gatherings ,counties,,,,19,19
eveywhere,everywhere,some schools,"all schools, zones",,,multiple countries,,,,asymptomatic,other,,,,,,,crew,other,funerals,other,,,,,10000,10000,outdoor 10,10 outdoors,,,funerals 20,funerals 20 
businsess,businesses,booster,vaccinated,,,vaccinatesd,vaccinated,,,<18,,,,,,,,businesses,business,low risk travellers,low-risk countries,,,,,2500,2500,>30 outdoors,30 outdoors,,,15 weddings,15 weddings
area,,some post-secondary schools,"post-secondary schools, zones",,,covid test,screening,,,inter-regional tranvel,inter-regional travel,,,,,,,>15,,besides Austria,multiple countries,,,,,500 indoors,500 indoors ,15 outdoors,15 outdoors,,,50% capacity,50% capacity 
>4,age group,some schools,"all schools, zones",,,hopsitality,hospitality,,,domestic flight,domestic flights,,,,,,,All countires,all countries,smultiple countries,multiple countries,,,,,tests,pcr-test,>6,6,,,all events,all
asymptomatic,,education,all education,,,secondary schools,,,,inter-rgional travel,inter-regional travel,,,,,,,Covid pass,covid-pass,>11,,,,,,>1000,1000,household only,household,,,weddings >10,weddings 10
publicc transport,public transport,employees COVID pass,"staff, covid-pass",,,Hosptality,hospitality,,,Forms,forms,,,,,,,US,US,antartica,antartica,,,,,75% capacity,75% capacity ,100 indoor,100 indoors,,,<100,100
indoors,indoor spaces,all eduction,All education,,,enterainment,entertainment,,,anyone,,,,,,,,vacinated,vaccinated,pacific islands),pacific islands,,,,,Sport events,some events ,20 indoors,20 indoors,,,75 weddings,75 weddings
outdoors,outdoor spaces,years,years,,,hospiality,hospitality,,,inter-regional travellers,inter-regional travel,,,,,,,cruise ships,other,Victoria,Australia (Victoria),,,,,<100,100,>25 outdoors,25 outdoors,,,civil ceremonies,weddings
>18,age group,levels,years,,,entertaintment,entertainment,,,inter-reginal travel,inter-regional travel,,,,,,,covid passport,covid-pass,svalbard,Norway (svalbard),,,,,venues,,10 outdoors,10 outdoors,,,100 outdoors,100 outdoors 
some outdoor spaces,outdoor spaces,all schools_zones,"All schools, zones",,,reacreation,recreation,,,30% capacity,,,,,,,,rapid test,antigen test,Test,pcr-test,,,,,25 outdoors,25 outdoors ,250 outdoors,250 outdoors ,,,private gatherings,all
"entertainment, hospitality",busenisses,kindegarten,Kindergartens,,,>12,,,,75% capacity,,,,,,,,healthcare workers,other,South America,South America,,,,,3000,3000,recreation,,,,funerals 10,10 funerals 
some indoor spaces,indoor spaces,all education_zones,"All education, zones",,,kindergarten,,,,Traditional,,,,,,,,auto renewal,,territory,,,,,,social,,35,35,,,weddings 5,5 weddings
outdoor spces,outdoor spaces,post-secondary schools.,post-secondary schools,,,covid-pass,covid-pass,,,except political district of Lienz,zones,,,,,,,alltravellers,all travellers,self-isolation high-risk countries,"quarantine, high-risk countries",,,,,250 outdoors,250 outdoors,three households,3 households,,,Places of worship,religion
public places,public spaces,news,news,,,graduation,,,,trucks,essential travel,,,,,,,china (wuhan),China (Wuhan),high -risk countries,high-risk countries,,,,,60,60,75% capacity,75% capacity ,,,15 indoor,15 indoors
healthcare,health,child-care facilities,childcare centres,,,unvaccinated,unvaccinated,,,all vehicles,"public transport, private transport",,,,,,,business travel (cross-border commuters),business,low-risk country,low-risk countries,,,,,parade,some events ,1000 outdoor,1000 outdoors,,,core bubble,household
everwhere,everywhere,post-secondary schoosl,post-secondary schools,,,nonessential business,non-essential businesses,,,interdistrict,inter-regional travel,,,,,,,business travel (seasonal workers),business,designated location,"quarantine,",,,,,0.5,50% capacity ,all sports,some gatherings,,,>150,150
age groups >6,age group,no policy,no policy,,,inter-regional travel,,,,under 18,age group,,,,,,,residents (border communities),residents,romanian maritime staff,quarantine,,,,,political,some events ,>25 indoors,25 indoors ,,,>3 at funerals,3 funerals
outdoors spaces,outdoor spaces,new,news,,,all schools,,,,essential staff,essential travel,,,,,,,China (Hubei),China (Hubei),romanian lorry drivers,other,,,,,30% capacity,30% capacity ,>50 indoor,50 indoors ,,,120,120
travel,transport,kingergartens,kindergarten,,,Traditional,,,,Shanghai,shanghai,,,,,,,brazil,Brazil,centres,,,,,,indoor gatherings,,outdoor 100,100 outdoors,,,private events,all
some businesses,busenisses,post secondary education,post-secondary schools,,,gatherings,,,,Taiyuan,taiyuan,,,,,,,single country ,single country,vaccination certificates,vaccinated,,,,,Religious gatherings,some gatherings ,religious services,some gatherings,,,two households,2 households
some towns,zones,,,,,non-essentil businesses,non-essential businesses,,,Jinzhong,jinzhong,,,,,,,pcr-test,pcr-test,non-citizen students,other,,,,,0 sport,some events ,150 outdoors,150 outdoors,,,6 weddings,6 weddings
correctional facilities,healht,,,,,50% capacity,,,,drill,,,,,,,,Germany (Schleswg-Holstein),Germany,mutliple countries,multiple countries,,,,,>10 indoors,10 indoors ,100 indoors,100 indoors,,,weddings 50,50 weddings
essential businesses,Businesses,,,,,corona pass,covid-pass,,,medium-risk areas,zones,,,,,,,antarctica,Antarctica,EU countries & Schengen,Schengen,,,,,1500,1500,<25,25,,,Gatherings,all
venue,Venues,,,,,non-essenital businesses,non-essential businesses,,,high-risk areas,zones,,,,,,,some travellers,,Itlay,Italy,,,,,200 indoors,200 indoors ,Religious services,some gatherings,,,Funerals and tangihana,funerals
evrywhere,Everywhere,,,,,gyms,fitness,,,tourism,other,,,,,,,pcr-test all travellers,"pcr-test, all travellers",tourism,other,,,,,>50 indoors,50 indoors ,1000 outdoors,1000 outdoors,,,funerals <10,10 funerals
oudoor spaces,Outdoor spaces,,,,,religion tourism,"religion, tourism",,,covid-pass,covid-pass,,,,,,,non-citizen,non-citizens,pcr-test positive,pcr-test,,,,,fitness,some events ,covid pass,covid-pass,,,pcr-tests,pcr-test 
vunerable,Vulnerable groups,,,,,non-essential,non-essential businesses,,,age >5,age group,,,,,,,high-risk country,high-risk countries,symtopmatic,symptomatic,,,,,>200,200,0.2,20% capacity,,,PCR-test,pcr-test 
some education,education,,,,,hospitality ,hospitality,,,publc transport,public transport,,,,,,,mutipel countries,multiple countries,South Jorea,South Korea,,,,,entertainment events,some events ,all public gatherings,some gatherings ,,,religious and civil ceremonies,"religion, weddings"
news,news,,,,,leisure,fitness,,,public-transport,public transport,,,,,,,antigen-test-some travellers,"antigen-test, some travellers",Quarantiine,quarantine,,,,,funerals,,<100,100,,,funeral ceremonies,funerals
vulnerable,vunerable groups,,,,,religious,religion,,,transit,other,,,,,,,rapid-test,antigen-test,all unvaccinated travellers,unvaccinated,,,,,parks,,<20,20,,,>30 outdoors,30 outdoors
everyhwere,everywhere,,,,,retail ,retail,,,taxis,public transport,,,,,,,news: transit,transit,all schools,,,,,,8,8,test,pcr-test ,,,>15 from 5 households outdoors,15 outdoors 
infected,symptomatic,,,,,non-essenetial businesses,non-essential businesses,,,madeira,madeira,,,,,,,all_countries,all countries,all borders,,,,,,25 indoors,25 indoors ,non-essential gatherings,all gatherings ,,,5 people,5
some essential businesses,everywhere,,,,,non-essentials,non-essential businesses,,,portosanto,portosanto,,,,,,,vaccinate,vaccinated,rapid testing,antigen test,,,,,outdoor gatherings,,single household only,1 household ,,,>10 funeral,10 funerals
everywher,everywhere,,,,,close 2200.,,,,public trabsport,public transport,,,,,,,unvacinated,unvaccinated,rapid antigen tests,antigen test,,,,,carnival,some events ,>150,150,,,Sports,sports
neas,news,,,,,non-essential busiensses,non-essential businesses,,,un-vaccinated,unvaccinated,,,,,,,non-covid,non-covid,land travellers,other,,,,,100%,100% capacity ,Gatherings,all gatherings,,,all weddings,weddings
health centers,health,,,,,hostitality,hospitality,,,religion,,,,,,,,European Union,multiple countries,Anyone,all travellers,,,,,9,9,60,60,,,hospitality,
new,news,,,,,all business,all businesses,,,non--essential travel,non-essential travel,,,,,,,pacific islands,multiple countries,form,forms,,,,,wedding,,350,350,,,70,70
publics spaces,public spaces,,,,,hospitslity,hospitality,,,non-esssential travel,non-essential travel,,,,,,,all travallers,all travellers,america samoa,America samoa,,,,,750,750,All events,all events ,,,military,
outdoor s spaces,outdoor spaces,,,,,covid- pass,covid-pass,,,private travel,private transport,,,,,,,mutlple countries,multiple countries,offices,,,,,,parades,some events ,sports events,some gatherings,,,25 outdoors,35 outdoors 
hospitals,health,,,,,all busenisses,all businesses,,,non residents,non-residents,,,,,,,all traveller,all travellers,hospitality,,,,,,All mass gatherings,all gatherings ,>50 indoors,50 indoors ,,,60,60
vacinated,vaccinated,,,,,antigen test,screening,,,Covid pass,covid-pass,,,,,,,Ucrania,"single country, Ukraine",religion,,,,,,Events,all events ,bubble,household,,,outdoor sports,sports
transort,transport,,,,,capacity cap,,,,vaccines,vaccinated,,,,,,,multeiple countries,multiple countries,Honk Kong,Hong Kong,,,,,200 outdoors,200 outdoors ,Public gatherings,some gatherings ,,,Religion,religion
,,,,,,employees,staff,,,non-essential trabel,non-essential travel,,,,,,,European Economic area countries and Great Britain,"EU, UK",Veitnam,Vietnam,,,,,1.5,,social gatherings,some gatherings ,,,news,news
,,,,,,Nightclubs,entertainment,,,inter-regional transport,inter-regional travel,,,,,,,pcr,Par-test,illegal travellers,other,,,,,250 indoors,250 indoors ,indoor gatherings,,,,cremation,
,,,,,,some business,some businesses,,, zones,zones,,,,,,,covid pass unvaccinated,"Covid-pass, unvaccinated",armenua,Armenia,,,,,Cultural,some events ,75 indoors,75 indoors,,,outdoor 50,50 outdoors
,,,,,,non-essential bussinesses,non-essential businesses,,,vunerable groups,vulnerable groups,,,,,,,mutlpel countries,Multiple countries,crew,other,,,,,>6,6,venues,,,,>20 funerals,20 funerals
,,,,,,recretion,recreation,,,lousada,zones,,,,,,,unvaccinted,Unvaccinated,all travelles,all travellers,,,,,>25 outdoors,25 outdoors ,Large gatherings,,,,wedding 50,50 weddings
,,,,,,cinemas,entertainment,,,inter-regionl travel,inter-regional travel,,,,,,,news,news,pcr=test,pcr-test,,,,,carnivals,some events ,Religion,some gatherings,,,250 weddings,250 weddings
,,,,,,emtertainment,entertainment,,,gaungdong,"zones, Guagdong",,,,,,,mulitple countries,multiple countries,pcr-test. All travellers,"pcr-test, all travellers",,,,,>300,300,news,news,,,150 funerals,150 funerals
,,,,,,"Cinemas, museums, shops, theaters","entertainment, retail",,,Hearbin,"Herbing, zones",,,,,,,unvaccinate,unvaccinated,Covid pass,covid-pass,,,,,15 indoors,15 indoors ,hospitality,,,,>75,75
,,,,,,"working hours, non essential",non-essential businesses,,,Yilin,,,,,,,,anitgen test,antigen-test,COVID pass,covid-pass,,,,,Festivals,some events ,50 people,50,,,0.5,50% capacity 
,,,,,,COVID pass. Retail,"covid-pass, retail",,,travellers,,,,,,,,no policy,no policy,citizens self-isolation,"citizens, quarantine",,,,,all sports,some events ,>4,4,,,>100 weddings,100 weddings
,,,,,,social distancing,,,,vaccinate,vaccinated,,,,,,,all counties,all countries,quarantining,quarantine,,,,,150 outdoors,150 outdoors ,outdoors only,,,,Religious gatherings,religion
,,,,,,sport,fitness,,,05-Nov,,,,,,,,all travelles,all travellers,all-travelers,all travellers,,,,,capacity cap,,25% capacity,25% capacity,,,funerals 50,50 funerals
,,,,,,non-essential.,non-essential businesses,,,vaccination,vaccinated,,,,,,,vaccinates,vaccinated,high-rik countries,high-risk countries,,,,,New Year,,mosques,some gatherings,,,weddings 10,10 weddings 
,,,,,,vaccination,vaccinated,,,student,students,,,,,,,unvaccintated,unvaccinated,anitgen-test,antigen test,,,,,sporting event,some events ,Public events,some events ,,,public places,
,,,,,,covid certificate,covid-pass,,,dmestic air travel,domestic flights,,,,,,,neighbouring vountries,neighbouring countries,caricom,caricom,,,,,performances,some events ,400,400,,,wake 10,10 funerals
,,,,,,entretainment,entertainment,,,pubic transport,public transport,,,,,,,,,qaurantine,quarantine,,,,,pcr-tests,pcr-test ,70,70,,,graveside 30,30 funerals
,,,,,,hospitality.,hospitality,,,>16,age group,,,,,,,,,pcr-test-quarantine,"pcr-test, quarantine",,,,,600,600,indoor 5,5 indoors ,,,co-habitants,household
,,,,,,somee businesses,some businesses,,,paos de ferreira,zones,,,,,,,,,nationals,citizens,,,,,Public events,some events ,fitness,,,,Weddings 10,10 weddings
,,,,,,hospitlaity,Hospitality,,,teachers,,,,,,,,,,tourist,non-citizens,,,,,rally,some events ,theatre,,,,hotels,
,,,,,,religon,Religion,,,businesses,,,,,,,,,,franc,France,,,,,prayers,some gatherings ,outdoor 5,5 outdoors ,,,funerals >25,25 funerals
,,,,,,all busnesses,All businesses,,,transporters,,,,,,,,,,"Guangzhou (Longjin St, Jinlong community)",China (Guangzhou),,,,,>50 outdoors,50 outdoors ,>10 outdoor,10 outdoors,,,social bubble,household
,,,,,,hospitalit,Hospitality,,,vunerable,vulnerable,,,,,,,,,business travellers (seasonal workers),business,,,,,>15 indoors,15 indoors ,Sports,some gatherings,,,>5 wedding,5 weddings
,,,,,,non-covid,non-covid,,,>12,"age group, 12",,,,,,,,,China (wuhan),China (Wuhan),,,,,125,125,indoor sports,some gatherings,,,>50 funerals,50 funerals
,,,,,,fitness. tourism,"Fitness, tourism",,,inter-regional  transport,inter-regional transport,,,,,,,,, all travelers,all travellers,,,,,Gatherings,all gatherings ,sports training,some gatherings,,,50 outdoor funerals,50 funerals
,,,,,,entertainmnt,entertainment,,,>18,"age group, 18",,,,,,,,, all travellers,all travellers,,,,,300 outdoors,300 outdoors,2 households,2 households,,,funerals >100,100 funerals
,,,,,,essensital businesses,Essential businesses,,,>15,"age group, 15",,,,,,,,, quarantine,quarantine,,,,,350,150,100% capacity,100% capacity ,,,> 20,20
,,,,,,essential-businesses,Essential businesses,,,inter-regional travel_zones,"inter-regional transport, zones",,,,,,,,, Guangdong,China (Guandong),,,,,>150,150,catered events,some gatherings,,,retail,
,,,,,,xones,Zones,,,<14,"age group, 14",,,,,,,,,screening ,screening,,,,,Indoors: 50,50 indoors ,and gatherings,some gatherings,,,300 weddings,
,,,,,,news,news,,,domestic air travel,domestic flights,,,,,,,,,screening ,screening,,,,,demonstrations,some events ,prayers,some gatherings,,,>50 weddings,50 weddings 
,,,,,,all bussinesses,all businesses,,,public transpot,public transport,,,,,,,,,Guangzhou (Longjin St,China (Guangdong),,,,,hospitality,,80,80,,,>10 weddings,10 weddings
,,,,,,no policy,no policy,,,cordon sanitair,Cordon sanitaire,,,,,,,,,Jinlong community),China (Guangdong),,,,,outdoors 500,500 outdoors ,religious event,some gatherings,,,exercise,sports
,,,,,,non-essentail businesses,non-essential businesses,,,non-essential movement,non-essential travel,,,,,,,,,China (Macao),Macao,,,,,sport events,some events ,Selected gatherings,some gatherings,,,>15 indoor,15 indoors 
,,,,,,some venues,venues,,,non-covid,non-covid,,,,,,,,,China (Maoming),China,,,,,religious services,some gatherings ,30% capacity,30% capacity ,,,75 baptisms,75 baptisms
,,,,,,new,news,,,road closres,Road closures,,,,,,,,,Montenegero,Montenegro,,,,,0.25,25% capacity ,indoor 25,25 indoors,,,christenings,baptisms
,,,,,,non-essential businees,non-essential businesses,,,inter-regioanl transport,Inter-regional transport,,,,,,,,,"China (Shenyang, Lianoning)",China,,,,,news,news,>150 outdoors,150 outdoors,,,<4,4
,,,,,,restaurants,hospitality,,,inter regional travel,Inter-regional travel,,,,,,,,,Guangzhou (Longjin St,China,,,,,percentage of max occupancy,,>10 outdoors,10 outdoors,,,family members,household
,,,,,,recreation#,recreation,,,inter-regional tranport,Inter-regional transport,,,,,,,,,Australia (Victoria),Australia,,,,,catered events,,indoor 20,20 indoors,,,>15 weddings,15 weddings 
,,,,,,restial,retail,,,inter-regional ttansport,Inter-regional transport,,,,,,,,,China (Shenzhen),"China, single country",,,,,events 50% capacity,50% capacity ,200 outdoors,200 outdoors ,,,>30 funerals,30 funerals
,,,,,,eseential businesses,essential businesses,,,cordon sanitiare,Cordon sanitaire,,,,,,,,,china (Guangzhou),"China, single country",,,,,70,70,2000,2000,,,25 indoors,25 indoors 
,,,,,,retail https,retail,,,private trnsport,Private transport,,,,,,,,,china (Gaungzhou),"China, single country",,,,,weddings,,all getherings,all gatherings ,,,>250,250
,,,,,,some bussineses,some businesses,,,inter-regional-tavel,Inter-regional travel,,,,,,,,,china (Gaungzhou),"China, single country",,,,,football,some events ,entertainment,,,,social gatherings,all
,,,,,,museums,entertainment,,,news,news,,,,,,,,,High-risk countires,high-risk countries,,,,,unlimited,no limit,Weddings,,,,100 weddings and funerals,"100 weddings, 100 funerals "
,,,,,,theaters,entertainment,,,publi transport,public transport,,,,,,,,,China (Zhanjiang),"China, single country",,,,,5000 outdoors,5000 outdoors ,Places of worship,some gatherings,,,60 weddings funerals,"60 weddings, 60 funerals"
,,,,,,shops,retail,,,no policy,no policy,,,,,,,,,China (Guangdong),"China, single country",,,,,Religious services,some gatherings ,>25%,25% capacity,,,funerals 25,25 funerals
,,,,,,,,,,puiblic transport,public transport,,,,,,,,,China (Wenzhou),"China, single country",,,,,150 indoors,150 indoors ,30 indoors,30 indoors ,,,40 funerals,40 funerals
,,,,,,,,,,,,,,,,,,,,China (Shenzhen),"China, single country",,,,,indoor 50,50 indoors ,beaches,,,,Burials,burials
,,,,,,,,,,,,,,,,,,,,Jinlong community),"China, single country",,,,,outdoor 100,100 outdoors ,>8,8,,,sports events,sports
,,,,,,,,,,,,,,,,,,,,China (Dongguan),"China, single country",,,,,large scale events,all events ,catered events: >50 inddors,"50 indoors, some events ",,,Individual outdoor sports,sports
